Timestamp,CONFORME,Are you:,Are you a Globe user?,What Globe services do you currently use? (Check all that apply),"Which mall(s) do you usually visit? (ex. MOA, SM Sta. Mesa, Robinsons Manila, etc.) (Can provide more than 1)","Have you ever visited a Globe or other telco store (like Smart, DITO, etc.)?  ","If yes, What are your usual reasons for visiting the store? (Check all that apply)",Have you encountered any challenges or difficulties when visiting a Globe / Telco store? ,What kind of challenges/difficulties have you experienced? (Check all that apply),"If answered ""Other"", please specify:",What can telco companies do to serve Deaf customers better? (You can choose more than one.) ,"If answered ""Other"", please specify:",Have you ever met a Deaf staff working in mall stores?,How would you feel if you saw Deaf people working at a Globe or telco store? ,"If answered ""Other"", please specify:",Do you think having Deaf employees in stores can help Deaf and hard-of-hearing customers communicate better? ,Would you like to work for a telco company in the future? ,Any other comments or suggestions for Globe or other telco companies? 
11/8/2025 13:32:20,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Data,Malls,Other ,Other,Yes,Others (please specify): _____________,Other,☐ Other: ___________,Other ,Not sure,Grateful,Other ,"Yes, very helpful",No,Other 
11/8/2025 13:32:22,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Sm north ,Yes,Buying or loading SIM cards,No,"No staff available who understand sign language, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Surprised,,"Yes, very helpful",Maybe,None 
11/8/2025 13:32:30,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Smart,SM Makati,No,Availing promos or plans,No,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Grateful,,"Yes, very helpful",Yes,No comments
11/8/2025 13:32:33,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Sm grand central,Yes,Buying or loading SIM cards,Yes,"Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process",,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,Hope deaf can hire work
11/8/2025 13:32:43,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,"Broadband / Internet, ",None,No,Availing promos or plans,Yes,"Difficulty communicating with staff or customer support, No staff available who understand sign language",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,None
11/8/2025 13:32:57,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Prepaid),MOA,Yes,Paying bills,Yes,Difficulty communicating with staff or customer support,Some new update ,Add text/chat support in-store that are PWD-friendly,,No,Comfortable,N/A,"Yes, very helpful",Yes,Globe 
11/8/2025 13:33:01,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,Mobile (Prepaid),MOA,No,Buying or loading SIM cards,No,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Lack of visual information or display guides when communicating, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",.,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",.,Yes,Other: ___________,.,"Yes, very helpful",Maybe,.
11/8/2025 13:33:08,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Prepaid),Gateway ,Smart Mobile,Buying or loading SIM cards,No,"Difficulty communicating with staff or customer support, Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Comfortable,,"Yes, very helpful",Yes,N/A
11/8/2025 13:33:21,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Postpaid),Glorietta Mall,Yes,"Paying bills, Availing promos or plans, Device or account concerns, Other",Yes,Long waiting time or unclear queueing process,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language",,No,Happy and proud,,"Yes, very helpful",Yes,N/A
11/8/2025 13:33:21,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Megamall,Yes,Other,Yes,Difficulty communicating with staff or customer support,Asking for purchases of gadgets,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Grateful,,"Yes, very helpful",Maybe,No
11/8/2025 13:33:29,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,NA,MOA,Yes,Buying or loading SIM cards,No,No staff available who understand sign language,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Surprised,,"Yes, very helpful",Maybe,NA
11/8/2025 13:33:34,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),MOA & SM Dasmarinas,Yes,"Buying or loading SIM cards, Device or account concerns",Yes,Difficulty communicating with staff or customer support,,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Surprised,,"Yes, very helpful",Yes,Interpreter insert or videocalling when ready to discussion 
11/8/2025 13:33:37,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Gomo,SM North,Yes,Other,No,No staff available who understand sign language,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Grateful,,"Yes, very helpful",Maybe,Hiring Deaf staff in future 
11/8/2025 13:33:37,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,na,MOA,Yes,Other,No,"Difficulty communicating with staff or customer support, No staff available who understand sign language",have not experienced yet,"Hire Deaf staff / assistants, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,"Yes, very helpful",Maybe,na
11/8/2025 13:33:46,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Broadband / Internet,SM BALIWAG ,Smart,Buying or loading SIM cards,No,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",N/A,Use more PWD-friendly visual signs or digital displays,N/A,Not sure,Surprised,N/A,Maybe helpful,Maybe,N/A
11/8/2025 13:33:54,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,"Mobile (Postpaid), Broadband / Internet",MOA,Yes,Device or account concerns,Yes,"Staff having hard time to answer questions and concerns, Long waiting time or unclear queueing process",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language",,Yes,Happy and proud,,"Yes, very helpful",Yes, N/A
11/8/2025 13:34:01,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Postpaid),Sm megamall,"Globe , Gomo ",Paying bills,No,"Difficulty communicating with staff or customer support, Staff having hard time to answer questions and concerns, Difficulty accessing online or mobile services",I don’t like robot chat .,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,N/a 
