Timestamp,CONFORME,Are you:,Are you a Globe user?,What Globe services do you currently use? (Check all that apply),"Which mall(s) do you usually visit? (ex. MOA, SM Sta. Mesa, Robinsons Manila, etc.) (Can provide more than 1)","Have you ever visited a Globe or other telco store (like Smart, DITO, etc.)?  ","If yes, What are your usual reasons for visiting the store? (Check all that apply)",Have you encountered any challenges or difficulties when visiting a Globe / Telco store? ,What kind of challenges/difficulties have you experienced? (Check all that apply),"If answered ""Other"", please specify:",What can telco companies do to serve Deaf customers better? (You can choose more than one.) ,"If answered ""Other"", please specify:",Have you ever met a Deaf staff working in mall stores?,How would you feel if you saw Deaf people working at a Globe or telco store? ,"If answered ""Other"", please specify:",Do you think having Deaf employees in stores can help Deaf and hard-of-hearing customers communicate better? ,Would you like to work for a telco company in the future? ,Any other comments or suggestions for Globe or other telco companies? 
11/8/2025 13:40:53,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Megamall,Yes,Device or account concerns,Yes,Long waiting time or unclear queueing process,,Use more PWD-friendly visual signs or digital displays,,Not sure,Other: ___________,no idea ,"Yes, very helpful",Yes,Globe or other telco companies should exposure about Deaf different from Hearing world
11/8/2025 13:42:01,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Dito prepaid,SM Megamall,DITO,Paying bills,No,No staff available who understand sign language,,Hire Deaf staff / assistants,,Yes,Happy and proud,,"Yes, very helpful",Yes,Other companies
11/8/2025 13:42:56,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), WiFi at home","SM MOA, SM Southmall, Robinson's Place, Vista Mall, SM Center",No,Paying bills,No,Difficulty accessing online or mobile services,,"Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays, ☐ Other: ___________",Write,No,Surprised,,"Yes, very helpful",No,Those who love technologies are encouraged to apply. 
11/8/2025 13:42:59,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,"Mobile (Prepaid), Broadband / Internet",MOA,No,Device or account concerns,No,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Lack of visual information or display guides when communicating",,Hire Deaf staff / assistants,,Yes,Happy and proud,,"Yes, very helpful",Yes,Opportunity Deaf employee 
11/8/2025 13:45:19,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,"Mobile (Prepaid), Mobile (Postpaid)",SM store e,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,Hire Deaf staff / assistants,,Not sure,Comfortable,,Maybe helpful,Yes,"I hope Globe and other telco companies who have provide more accessible as services for Deaf customers, like chat options, visual displays, and hiring Deaf staff it is important to support, patient, and advocacy."
11/8/2025 13:45:49,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),MEGAMALL,Yes,"Buying or loading SIM cards, Availing promos or plans",Yes,"Difficulty communicating with staff or customer support, Long waiting time or unclear queueing process",Na,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",Na,No,Other: ___________,None,"Yes, very helpful",Yes,Na
11/8/2025 13:50:03,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Prepaid),Moa,No,Other,No,Staff having hard time to answer questions and concerns,Good,Hire Deaf staff / assistants,Good,No,Grateful,Good,"Yes, very helpful",Yes,Improve feedback share people
11/8/2025 13:50:15,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Gomo,Sm lazaro,Yes,Paying bills,Yes,Difficulty communicating with staff or customer support,Other ,Hire Deaf staff / assistants,Other ,No,Neutral,Other ,Maybe helpful,Maybe,Globe
11/8/2025 15:00:16,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Prepaid),SM Sangandaan and SM Grand Central,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Lack of visual information or display guides when communicating, Difficulty explaining service/s or technical issues",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Grateful,,"Yes, very helpful",Yes,Use FSL for communication in case of need. 
11/8/2025 15:12:59,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),SM Fairview ,Yes,Paying bills,Yes,Staff having hard time to answer questions and concerns,None,Add text/chat support in-store that are PWD-friendly,None ,No,Grateful,None ,Maybe helpful,Maybe,None 
11/8/2025 15:14:26,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Prepaid),SM City Sucat,Yes,Buying or loading SIM cards,No,Difficulty explaining service/s or technical issues,,Add text/chat support in-store that are PWD-friendly,,No,Neutral,,Maybe helpful,Yes,None
11/8/2025 15:22:01,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),More ,Yes,Buying or loading SIM cards,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating, Difficulty explaining service/s or technical issues",,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Comfortable,,"Yes, very helpful",Yes,N/A
11/8/2025 15:24:14,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,NO,"SM Sto tomas and Sta rosa, SNR sto Tomas and Shell Mamplasan",No,Other,No,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,Hire Deaf staff / assistants,,No,Happy and proud,,"Yes, very helpful",Yes,N/A
11/8/2025 15:32:37,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),"Filinvest, ATC, Southmall",Yes,Availing promos or plans,Yes,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,"Hire Deaf staff / assistants, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,"During training, there should be suitable lessons for the Deaf employees and props and demo"
11/8/2025 15:34:18,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,Don't have,"Festival Mall, MOA and SM North",Yes,Other,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,Don't have comment 
11/8/2025 15:38:10,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Prepaid),MOA and Cubao Malls,Yes,Buying or loading SIM cards,Yes,"No staff available who understand sign language, Staff having hard time to answer questions and concerns, Difficulty accessing online or mobile services",N/A,Hire Deaf staff / assistants,N/A,Yes,Surprised,N/A,"Yes, very helpful",Yes,Interview with interpreter FSL
11/8/2025 15:38:57,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),SM Manila,Yes,"Paying bills, Buying or loading SIM cards",Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty accessing online or mobile services",,"Train hearing staff in basic sign language, Use more PWD-friendly visual signs or digital displays",,No,Comfortable,,"Yes, very helpful",Maybe,Nothing
11/8/2025 15:38:59,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Postpaid),SM Moa,Yes,Buying or loading SIM cards,Yes,Difficulty accessing online or mobile services,,Hire Deaf staff / assistants,,No,Surprised,,"Yes, very helpful",Yes,Apply job for Deaf in Globe Company 
11/8/2025 15:39:00,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Prepaid),N/A,No,Buying or loading SIM cards,No,Difficulty accessing online or mobile services,,Hire Deaf staff / assistants,,No,Happy and proud,,"Yes, very helpful",Maybe,N/A
11/8/2025 15:39:22,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,Mobile (Prepaid),MOA and SM megamall and SM Cubao,Yes,Buying or loading SIM cards,No,"No staff available who understand sign language, Staff having hard time to answer questions and concerns",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",N/A,No,Comfortable,Other - I hope the deaf people working on that there's a more important thing to do with a key communication. ,"Yes, very helpful",Yes,N/A
11/8/2025 13:40:38,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",MOA,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Not sure,Happy and proud,,"Yes, very helpful",Yes,be inclusive
11/8/2025 13:41:50,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",Robinsons Magnola,Yes,Device or account concerns,Yes,Staff having hard time to answer questions and concerns,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Not sure,Grateful,,Not really,Maybe,N/A
11/8/2025 13:42:59,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",Sm Moa,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Staff having hard time to answer questions and concerns,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,-
11/9/2025 0:06:35,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,"Mobile (Prepaid), Broadband / Internet",Sm Manila,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Staff having hard time to answer questions and concerns,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,globe need imporvement
11/10/2025 13:28:11,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",Robinsons,Yes,Device or account concerns,Yes,Staff having hard time to answer questions and concerns,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Not sure,Comfortable,,"Yes, very helpful",Maybe,nothing
11/10/2025 13:31:31,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,"Mobile (Prepaid), Broadband / Internet",Sm Cubao,Yes,Device or account concerns,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Not sure,Comfortable,,"Yes, very helpful",Yes,-
11/10/2025 13:31:52,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Postpaid),Gateway Mall,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Staff having hard time to answer questions and concerns,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,none
11/10/2025 13:32:01,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Postpaid),Eastwood,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",No,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Maybe,hire deaf
11/10/2025 13:32:06,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Postpaid),Sm Bacoor,Yes,Device or account concerns,Yes,Staff having hard time to answer questions and concerns,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Grateful,,"Yes, very helpful",Yes,do you have internship
11/10/2025 13:32:09,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Postpaid),Galleria,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Staff having hard time to answer questions and concerns,,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Grateful,,"Yes, very helpful",Yes,nothing
11/10/2025 13:32:11,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Postpaid),Rob Manila,Yes,Availing promos or plans,Yes,Staff having hard time to answer questions and concerns,,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,"Yes, very helpful",Yes,please priority deaf and pwd
11/10/2025 13:32:20,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Postpaid),Sm Bacoor,Yes,Availing promos or plans,Yes,Difficulty explaining service/s or technical issues,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,"Yes, very helpful",Maybe,nothing
11/10/2025 13:32:20,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Postpaid),Sm Bacoor,Yes,Other,Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Comfortable,,"Yes, very helpful",Yes,have more easy access in app and store
11/10/2025 13:32:20,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,Na,MOA,Yes,Device or account concerns,Yes,"Staff having hard time to answer questions and concerns, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Others (please specify): _____________",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,Maybe helpful,Yes,na
11/10/2025 13:32:22,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,Gomo,Megamll,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Difficulty explaining service/s or technical issues,,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Comfortable,,"Yes, very helpful",Yes,thank you globe
11/10/2025 13:32:30,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Postpaid),MOA,Yes,Availing promos or plans,Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,Hire Deaf staff / assistants,,Yes,Happy and proud,,"Yes, very helpful",Yes,no
11/10/2025 13:32:33,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,Smart,sm aura,Yes,Device or account concerns,No,"Staff having hard time to answer questions and concerns, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Others (please specify): _____________",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,Not really,No,know deaf cultre and deaf people
11/10/2025 13:32:43,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Postpaid),Mall of asia,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,Hire Deaf staff / assistants,,Yes,Comfortable,,"Yes, very helpful",Maybe,no
11/10/2025 13:32:57,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,"Mobile (Prepaid), Broadband / Internet",Sm Moa,Yes,Availing promos or plans,Yes,"Staff having hard time to answer questions and concerns, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Others (please specify): _____________",,Hire Deaf staff / assistants,,Yes,Other: ___________,good feeling,Maybe helpful,Yes,deaf awareness for all employee
11/10/2025 13:33:01,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,"Mobile (Prepaid), Mobile (Postpaid)",Sm Moa,Yes,Device or account concerns,Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,☐ Other: ___________,more ways,Not sure,Comfortable,,"Yes, very helpful",Yes,be open to deaf hires
11/10/2025 13:33:08,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,"Mobile (Prepaid), Broadband / Internet",Megamall,Yes,Availing promos or plans,Yes,"Staff having hard time to answer questions and concerns, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Others (please specify): _____________",,☐ Other: ___________,,Yes,Comfortable,,"Yes, very helpful",Yes,na
11/10/2025 13:33:21,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",,Yes,"Mobile (Prepaid), Mobile (Postpaid)",Mall of asia,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Difficulty explaining service/s or technical issues,,Hire Deaf staff / assistants,,Not sure,Happy and proud,,"Yes, very helpful",Maybe,hope we apply in globe
11/10/2025 13:33:21,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,"Mobile (Prepaid), Broadband / Internet",Sm Makati / glorietta,Yes,Device or account concerns,Yes,"Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process",,Hire Deaf staff / assistants,,Yes,Grateful,,"Yes, very helpful",Maybe,
11/10/2025 13:33:29,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,"Mobile (Prepaid), Mobile (Postpaid)",greenbelt,Yes,Availing promos or plans,Yes,"Staff having hard time to answer questions and concerns, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Others (please specify): _____________",,☐ Other: ___________,be good to deaf,Yes,Grateful,,"Yes, very helpful",Yes,accessible please
11/10/2025 13:33:34,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet","mall of asia, sm megamall",Yes,Device or account concerns,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,☐ Other: ___________,,Yes,Happy and proud,,"Yes, very helpful",Maybe,thank you
11/10/2025 13:33:37,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,"Mobile (Prepaid), Broadband / Internet",sm southmall,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Comfortable,,"Yes, very helpful",Yes,no
11/10/2025 13:33:37,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,"Mobile (Prepaid), Mobile (Postpaid)",Glorietta,Yes,"Paying bills, Buying or loading SIM cards",Yes,Difficulty explaining service/s or technical issues,,Hire Deaf staff / assistants,,Not sure,Happy and proud,,"Yes, very helpful",No,N/A
11/13/2025 16:51:43,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",Ayala Malls,Yes,Availing promos or plans,No,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Surprised,,"Yes, very helpful",Yes,"use FSl, study FSl to understand and communicate with us"
11/13/2025 16:51:52,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",sm las pinas,Yes,"Paying bills, Buying or loading SIM cards",Yes,"Staff having hard time to answer questions and concerns, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Others (please specify): _____________",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Grateful,,"Yes, very helpful",Yes,no
11/13/2025 16:51:56,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,na,trinoma,Yes,Availing promos or plans,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,"Yes, very helpful",Maybe,N/A
11/13/2025 16:52:41,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,-,sm masinag,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,"Yes, very helpful",Yes,N/A
11/13/2025 16:52:52,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,"Mobile (Prepaid), Broadband / Internet",Ayala Mall manila bay,Yes,Availing promos or plans,Yes,Difficulty explaining service/s or technical issues,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Not sure,Happy and proud,,"Yes, very helpful",Yes,i hope globe to be inclusive and accepting of deaf and pwd
11/13/2025 16:53:35,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",Megamall,Yes,Other,No,Long waiting time or unclear queueing process,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Comfortable,,"Yes, very helpful",Yes,no
